date;open;high;low;close;volume
22.05.2000;7,39;7,40;7,11;7,38;3231000,00
23.05.2000;7,39;7,45;6,60;7,23;31000,00
24.05.2000;7,39;7,39;6,65;6,98;56300,00
25.05.2000;6,98;7,06;6,82;6,98;36320,00
26.05.2000;6,90;7,23;6,78;7,06;26900,00
29.05.2000;7,06;7,43;7,06;7,35;10700,00
30.05.2000;7,43;7,43;7,23;7,43;34500,00
31.05.2000;7,39;8,17;7,39;7,81;491480,00
02.06.2000;8,05;8,62;7,97;8,46;53100,00
05.06.2000;8,54;9,90;8,46;9,44;111200,00
06.06.2000;9,68;9,68;9,12;9,12;201000,00
07.06.2000;9,20;9,28;9,04;9,28;25800,00
08.06.2000;9,36;9,68;9,24;9,45;6700,00
09.06.2000;9,57;9,61;9,20;9,45;1800,00
12.06.2000;9,28;9,36;8,87;8,95;8650,00
13.06.2000;8,79;9,12;8,62;8,99;20649,00
14.06.2000;9,16;9,36;8,95;9,32;130400,00
15.06.2000;9,36;10,68;9,36;10,39;33600,00
16.06.2000;10,68;11,50;10,55;11,24;27460,00
19.06.2000;11,50;11,50;10,68;10,76;10300,00
20.06.2000;11,09;11,09;10,67;10,67;30200,00
21.06.2000;10,84;10,84;10,35;10,35;1600,00
22.06.2000;10,41;10,84;10,39;10,39;5000,00
26.06.2000;10,35;10,51;10,35;10,43;1625,00
27.06.2000;10,68;10,76;10,60;10,72;33800,00
28.06.2000;10,68;10,68;10,64;10,64;1500,00
29.06.2000;10,69;10,69;9,86;10,35;9000,00
30.06.2000;9,86;10,75;9,86;10,02;11500,00
03.07.2000;10,02;10,10;9,87;10,10;2785,00
04.07.2000;10,10;10,43;10,10;10,27;3250,00
05.07.2000;10,02;10,27;9,90;9,90;1900,00
06.07.2000;9,87;9,94;9,62;9,65;1600,00
07.07.2000;9,77;10,06;9,61;9,61;59627,00
10.07.2000;9,69;10,02;9,69;9,86;2650,00
11.07.2000;9,61;9,86;9,61;9,86;2320,00
12.07.2000;9,86;9,86;9,77;9,77;35200,00
13.07.2000;10,02;10,68;9,86;10,27;3603,00
14.07.2000;10,60;11,34;10,60;11,09;18600,00
17.07.2000;11,09;11,30;11,02;11,30;7000,00
