date;open;high;low;close;volume
07.12.1998;6,39;6,48;6,22;6,31;103000,00
08.12.1998;6,31;6,31;6,22;6,31;55310,00
09.12.1998;6,48;6,39;6,31;6,39;57800,00
10.12.1998;6,39;6,48;6,39;6,39;21160,00
11.12.1998;6,39;6,39;6,39;6,39;31715,00
14.12.1998;6,39;6,48;6,39;6,39;16815,00
15.12.1998;6,56;6,56;6,46;6,56;25200,00
16.12.1998;7,06;7,06;6,64;7,06;41180,00
17.12.1998;7,57;7,90;7,57;7,57;101495,00
18.12.1998;6,90;7,57;6,90;6,90;38400,00
21.12.1998;7,23;7,23;6,73;7,23;8220,00
22.12.1998;7,23;7,57;7,23;7,23;30900,00
23.12.1998;7,57;7,65;7,48;7,57;51600,00
28.12.1998;7,57;7,65;7,57;7,57;800,00
29.12.1998;7,23;7,57;7,23;7,23;5400,00
30.12.1998;6,39;7,40;6,39;7,40;22100,00
04.01.1999;7,50;7,50;7,30;7,50;10400,00
05.01.1999;7,50;7,50;7,45;7,50;138000,00
07.01.1999;7,40;7,40;7,40;7,40;22244,00
08.01.1999;8,10;8,10;7,40;8,10;56140,00
11.01.1999;8,10;8,15;8,09;8,10;25947,00
12.01.1999;7,90;8,10;7,90;7,90;3560,00
13.01.1999;7,70;7,90;7,70;7,70;27300,00
14.01.1999;7,90;7,90;7,90;7,90;22100,00
15.01.1999;8,00;8,00;7,85;8,00;60440,00
18.01.1999;8,00;8,00;7,90;8,00;6800,00
19.01.1999;7,70;8,00;7,70;7,70;15831,00
20.01.1999;7,70;7,70;7,70;7,70;0,00
21.01.1999;7,50;7,80;7,50;7,50;1219,00
22.01.1999;7,30;7,30;7,20;7,30;14200,00
25.01.1999;7,60;7,60;7,35;7,60;5028,00
26.01.1999;7,60;7,60;7,50;7,60;11632,00
27.01.1999;7,60;7,60;7,50;7,60;17200,00
28.01.1999;7,80;7,80;7,60;7,80;10500,00
29.01.1999;7,90;7,95;7,75;7,90;9700,00
01.02.1999;7,80;7,90;7,80;7,80;11900,00
02.02.1999;7,80;7,80;7,80;7,80;17600,00
03.02.1999;8,00;8,00;7,90;8,00;9200,00
04.02.1999;8,00;8,00;8,00;8,00;8550,00
05.02.1999;7,50;7,90;7,50;7,50;1718,00
08.02.1999;7,50;7,60;7,20;7,50;6300,00
