date;open;high;low;close;volume
15.10.1999;1,50;1,50;1,20;1,22;746030,00
18.10.1999;1,22;1,22;1,10;1,10;146500,00
19.10.1999;1,10;1,12;1,00;1,00;84750,00
20.10.1999;1,02;1,18;1,02;1,16;74795,00
21.10.1999;1,20;1,21;1,15;1,19;56250,00
22.10.1999;1,20;1,23;1,18;1,18;22000,00
25.10.1999;1,20;1,20;1,10;1,14;14000,00
26.10.1999;1,18;1,18;1,12;1,12;3250,00
27.10.1999;1,14;1,16;1,11;1,11;10500,00
28.10.1999;1,13;1,16;1,11;1,12;25750,00
29.10.1999;1,12;1,14;1,11;1,14;40250,00
01.11.1999;1,14;1,14;1,10;1,11;24500,00
02.11.1999;1,10;1,16;1,10;1,12;21250,00
03.11.1999;1,12;1,12;1,10;1,12;5750,00
04.11.1999;1,12;1,14;1,10;1,12;17750,00
05.11.1999;1,14;1,16;1,10;1,14;43000,00
08.11.1999;1,15;1,19;1,14;1,16;31250,00
09.11.1999;1,17;1,25;1,17;1,24;69000,00
10.11.1999;1,24;1,24;1,23;1,23;15500,00
11.11.1999;1,25;1,30;1,25;1,27;13000,00
12.11.1999;1,28;1,30;1,28;1,28;23000,00
15.11.1999;1,28;1,35;1,28;1,30;26250,00
16.11.1999;1,32;1,36;1,30;1,34;25500,00
17.11.1999;1,35;1,50;1,35;1,35;112500,00
18.11.1999;1,38;1,40;1,34;1,38;22250,00
19.11.1999;1,32;1,40;1,32;1,32;21750,00
22.11.1999;1,32;1,38;1,30;1,32;11250,00
23.11.1999;1,30;1,33;1,29;1,30;26350,00
24.11.1999;1,23;1,28;1,22;1,23;28500,00
25.11.1999;1,30;1,34;1,24;1,30;22425,00
26.11.1999;1,30;1,30;1,30;1,30;250,00
29.11.1999;1,25;1,28;1,24;1,25;18500,00
30.11.1999;1,25;1,28;1,25;1,25;15750,00
01.12.1999;1,24;1,26;1,24;1,24;15250,00
02.12.1999;1,26;1,26;1,25;1,26;7000,00
03.12.1999;1,37;1,38;1,32;1,37;80750,00
07.12.1999;1,41;1,54;1,40;1,41;173500,00
08.12.1999;1,44;1,47;1,42;1,44;68500,00
09.12.1999;1,47;1,48;1,43;1,47;64000,00
10.12.1999;1,62;1,70;1,50;1,62;220750,00
13.12.1999;2,16;2,18;1,66;2,16;448500,00
14.12.1999;2,50;2,80;2,24;2,50;363165,00
15.12.1999;2,15;2,60;2,04;2,15;408500,00
16.12.1999;2,27;2,60;2,20;2,27;216500,00
17.12.1999;1,97;2,40;1,78;1,97;493750,00
20.12.1999;2,04;2,14;2,02;2,04;99120,00
21.12.1999;1,95;2,09;1,90;1,95;100840,00
22.12.1999;1,91;2,05;1,91;1,91;50400,00
23.12.1999;1,88;1,90;1,70;1,88;889350,00
27.12.1999;1,96;2,00;1,80;1,96;78875,00
28.12.1999;2,20;2,24;1,98;2,20;254025,00
29.12.1999;2,26;2,40;2,15;2,26;222850,00
30.12.1999;2,23;2,32;2,20;2,26;64350,00
03.01.2000;2,32;2,60;2,32;2,50;216710,00
04.01.2000;2,58;2,58;2,24;2,30;146515,00
05.01.2000;2,24;2,24;2,02;2,02;99965,00
07.01.2000;2,00;2,00;1,76;1,97;104125,00
10.01.2000;2,02;2,26;2,02;2,14;99825,00
11.01.2000;2,20;2,26;2,10;2,20;93800,00
12.01.2000;2,05;2,20;2,04;2,14;83950,00
13.01.2000;2,18;2,18;2,13;2,16;52000,00
14.01.2000;2,18;2,18;2,12;2,16;59000,00
17.01.2000;2,18;2,20;2,10;2,17;54405,00
18.01.2000;2,13;2,18;2,10;2,10;47245,00
19.01.2000;2,10;2,10;2,05;2,06;39250,00
20.01.2000;2,07;2,10;2,07;2,08;36750,00
21.01.2000;2,18;2,20;2,10;2,10;54150,00
24.01.2000;2,20;2,22;2,14;2,15;41600,00
25.01.2000;2,14;2,14;2,06;2,06;45165,00
26.01.2000;2,04;2,13;2,03;2,06;27250,00
27.01.2000;2,06;2,06;2,02;2,06;26785,00
28.01.2000;2,09;2,20;2,09;2,14;83250,00
31.01.2000;2,21;2,22;2,19;2,19;100850,00
01.02.2000;2,18;2,36;2,18;2,28;98840,00
02.02.2000;2,26;2,30;2,20;2,26;71350,00
03.02.2000;2,30;2,30;2,23;2,30;34000,00
04.02.2000;2,37;2,45;2,32;2,35;174750,00
07.02.2000;2,40;2,54;2,40;2,54;142625,00
08.02.2000;2,60;2,80;2,59;2,80;395920,00
09.02.2000;3,10;3,60;2,92;3,00;693800,00
10.02.2000;3,18;3,18;2,80;3,08;199535,00
11.02.2000;3,10;3,22;3,10;3,21;174625,00
14.02.2000;3,20;3,46;3,20;3,39;174975,00
15.02.2000;3,40;3,49;3,13;3,20;73400,00
16.02.2000;3,18;3,35;3,10;3,10;49040,00
17.02.2000;3,10;3,40;2,90;3,34;138500,00
18.02.2000;3,30;3,45;3,26;3,40;125625,00
21.02.2000;3,34;3,48;3,00;3,44;116125,00
22.02.2000;3,44;3,44;3,24;3,24;101800,00
23.02.2000;3,31;3,31;3,20;3,31;65880,00
24.02.2000;3,30;3,38;3,26;3,26;53285,00
25.02.2000;3,20;3,26;3,02;3,24;106895,00
28.02.2000;3,18;3,20;3,02;3,16;53210,00
29.02.2000;3,08;3,09;3,07;3,08;26005,00
01.03.2000;3,10;3,10;3,00;3,00;27800,00
02.03.2000;3,00;3,00;2,88;2,96;25250,00
03.03.2000;3,00;3,00;2,94;2,98;129750,00
06.03.2000;3,00;3,10;3,00;3,08;43980,00
07.03.2000;3,08;3,08;2,94;2,96;113155,00
08.03.2000;2,95;2,96;2,84;2,84;32400,00
09.03.2000;2,80;2,94;2,80;2,90;27625,00
10.03.2000;2,94;2,98;2,90;2,96;31000,00
13.03.2000;3,10;3,24;3,00;3,00;293785,00
14.03.2000;3,10;3,20;3,04;3,10;157850,00
15.03.2000;3,00;3,04;2,80;2,90;66875,00
16.03.2000;2,90;2,98;2,83;2,98;139000,00
17.03.2000;3,00;3,10;2,84;2,92;86885,00
20.03.2000;3,00;3,00;2,90;2,98;29500,00
21.03.2000;2,90;2,92;2,87;2,90;59000,00
22.03.2000;2,92;2,96;2,83;2,84;14500,00
23.03.2000;2,82;2,82;2,80;2,80;20250,00
24.03.2000;2,82;2,82;2,70;2,72;36000,00
27.03.2000;2,70;2,71;2,54;2,54;68625,00
28.03.2000;2,51;2,66;2,34;2,62;89250,00
29.03.2000;2,40;2,60;2,40;2,50;30500,00
30.03.2000;2,46;2,46;2,22;2,30;54300,00
31.03.2000;2,20;2,30;2,04;2,20;64250,00
03.04.2000;2,30;2,36;2,13;2,22;39500,00
04.04.2000;2,10;2,28;2,00;2,12;60350,00
05.04.2000;2,16;2,16;1,90;2,10;148750,00
06.04.2000;2,10;2,52;2,06;2,38;61825,00
07.04.2000;2,44;2,50;2,34;2,34;32150,00
10.04.2000;2,40;2,40;2,23;2,24;10200,00
11.04.2000;2,10;2,20;1,94;2,19;17750,00
12.04.2000;2,10;2,20;2,10;2,10;27250,00
13.04.2000;2,06;2,08;1,95;2,03;17000,00
14.04.2000;2,10;2,12;2,00;2,12;14500,00
17.04.2000;1,90;1,94;1,81;1,90;27750,00
18.04.2000;1,98;2,07;1,88;1,90;39500,00
19.04.2000;2,08;2,10;1,99;1,99;40250,00
20.04.2000;1,99;1,99;1,99;1,99;0,00
25.04.2000;1,91;2,20;1,91;2,20;18000,00
26.04.2000;2,20;2,30;2,14;2,14;31000,00
27.04.2000;2,10;2,22;2,10;2,20;39500,00
28.04.2000;2,10;2,20;2,10;2,18;24500,00
02.05.2000;2,26;2,36;2,26;2,35;14500,00
03.05.2000;2,30;2,37;2,29;2,30;26250,00
04.05.2000;2,30;2,41;2,30;2,40;22175,00
05.05.2000;2,44;2,44;2,35;2,40;16500,00
08.05.2000;2,40;2,43;2,40;2,42;17500,00
09.05.2000;2,40;2,45;2,35;2,40;11725,00
10.05.2000;2,40;2,44;2,39;2,39;25000,00
11.05.2000;2,34;2,34;2,26;2,26;2500,00
12.05.2000;2,40;2,40;2,34;2,40;9000,00
15.05.2000;2,34;2,41;2,30;2,30;17400,00
16.05.2000;2,38;2,40;2,30;2,37;22250,00
17.05.2000;2,36;2,38;2,30;2,38;23750,00
18.05.2000;2,34;2,50;2,28;2,33;137700,00
19.05.2000;2,40;2,40;2,10;2,10;30250,00
22.05.2000;2,06;2,30;1,92;2,00;12100,00
23.05.2000;2,20;2,20;2,00;2,01;11000,00
24.05.2000;1,97;1,97;1,84;1,91;19000,00
25.05.2000;2,18;2,18;1,93;1,96;13170,00
26.05.2000;1,94;2,00;1,90;1,90;6580,00
29.05.2000;1,90;1,90;1,90;1,90;3500,00
30.05.2000;1,90;1,90;1,83;1,83;11300,00
31.05.2000;2,00;2,00;1,90;1,93;11000,00
02.06.2000;1,95;2,00;1,89;1,98;15000,00
05.06.2000;1,93;1,98;1,90;1,92;11500,00
06.06.2000;1,91;1,92;1,90;1,90;13750,00
07.06.2000;1,90;1,95;1,90;1,90;18000,00
08.06.2000;1,90;1,99;1,90;1,99;10500,00
09.06.2000;1,98;2,10;1,96;2,10;22100,00
12.06.2000;2,15;2,24;2,08;2,10;25250,00
13.06.2000;2,10;2,10;2,04;2,04;6750,00
14.06.2000;2,10;2,12;2,10;2,12;4500,00
15.06.2000;2,10;2,10;2,05;2,10;19000,00
16.06.2000;2,16;2,18;2,10;2,18;19250,00
19.06.2000;2,24;2,34;2,24;2,34;65500,00
20.06.2000;2,40;3,00;2,35;2,76;307875,00
21.06.2000;2,84;2,90;2,71;2,82;390150,00
22.06.2000;2,84;2,90;2,84;2,90;71325,00
26.06.2000;2,90;2,90;2,81;2,81;12125,00
27.06.2000;2,82;2,82;2,65;2,66;24200,00
28.06.2000;2,66;2,73;2,62;2,68;19500,00
29.06.2000;2,76;2,80;2,70;2,70;32500,00
30.06.2000;2,66;2,76;2,66;2,74;16500,00
03.07.2000;2,70;2,78;2,66;2,76;136750,00
04.07.2000;2,75;2,76;2,70;2,76;6400,00
05.07.2000;2,78;2,78;2,70;2,70;17500,00
06.07.2000;2,72;2,80;2,72;2,80;57500,00
07.07.2000;2,80;2,80;2,73;2,80;5500,00
10.07.2000;2,74;2,74;2,74;2,74;500,00
11.07.2000;2,74;2,74;2,70;2,70;8500,00
12.07.2000;2,70;2,70;2,62;2,70;10525,00
13.07.2000;2,64;2,70;2,64;2,67;29000,00
14.07.2000;2,64;2,70;2,63;2,69;5500,00
17.07.2000;2,64;2,76;2,60;2,76;223500,00
18.07.2000;2,76;2,78;2,70;2,75;28125,00
19.07.2000;2,70;2,75;2,70;2,75;7500,00
20.07.2000;2,70;2,76;2,70;2,76;18675,00
21.07.2000;2,76;2,78;2,76;2,76;8000,00
24.07.2000;2,78;2,84;2,78;2,83;32100,00
25.07.2000;2,81;2,81;2,75;2,80;11500,00
26.07.2000;2,80;2,84;2,80;2,81;10615,00
27.07.2000;2,85;2,85;2,66;2,66;10000,00
28.07.2000;2,70;2,88;2,68;2,70;12000,00
31.07.2000;2,75;2,75;2,66;2,70;6080,00
01.08.2000;2,70;2,80;2,70;2,76;1500,00
02.08.2000;2,68;2,76;2,54;2,76;5420,00
03.08.2000;2,60;2,65;2,56;2,65;7500,00
04.08.2000;2,64;2,68;2,61;2,67;14000,00
07.08.2000;2,75;2,75;2,58;2,66;25550,00
